Id_bien,Id_codedep_codecommune,No_voie,B_T_Q,Type_de_voie,Voie,Code_postal,Code_type_local,Type_local,Nombre_pieces_principales,Surface_Carrez_du_1er_lot
24381,54395,3,,RUE,EDMOND ABOUT,54000,2,Appartement,2,39.92
27086,54459,23,,RUE,DE LAVAL,54630,2,Appartement,1,27.91
24846,54547,8,,RUE,DU TONNEAU,54500,2,Appartement,3,68.81
04490,56007,54,,RUE,LOUIS BILLET,56400,2,Appartement,2,42.5
20754,56121,7,,RUE,PROFESSEUR MAZE,56100,2,Appartement,2,32
30877,56186,17,,RUE,DE PORT MARIA,56170,2,Appartement,2,39.08
17820,59178,171,,AV,GEORGES CLEMENCEAU,59500,2,Appartement,4,109.97
25317,59328,370,,AV,DE DUNKERQUE,59130,2,Appartement,4,84.02
31467,59328,25,,AV,DE SOUBISE,59130,2,Appartement,2,46.13
33604,59328,38,,AV,DE LA REPUBLIQUE,59130,2,Appartement,1,31.06
14387,59350,8,,RUE,CARPEAUX,59000,2,Appartement,2,30.26
21381,59360,9001,,RES,PIERRE CURIE,59120,2,Appartement,2,45.95
20080,59512,2,,RUE,VAUBAN,59100,2,Appartement,1,18.14
25217,59599,2,,ALL,DE LA MARBRERIE,59200,2,Appartement,2,40.15
13302,60176,17,B,AV,DE SENLIS,60800,2,Appartement,3,62.91
12503,60398,23,,RUE,DU CHEF DE VILLE,60530,2,Appartement,3,26
08195,60463,10,,AV,DE LA ROTONDE,60180,2,Appartement,3,60.96
22553,60463,5,,RUE,PAUL CLAUDEL,60180,2,Appartement,4,88.74
28527,64348,7,,IMP,D OSSAU,64140,2,Appartement,2,37.33
01534,64374,9814,,RTE,DE LA LANDE,64230,1,Maison,4,103.69
20410,64416,4,,PL,DARRALDE,64190,2,Appartement,3,83.15
08004,64422,12,,RUE,MAYTIE,64400,2,Appartement,2,41.96
19245,64445,18,,RUE,BONADO,64000,2,Appartement,2,30.59
08942,64445,1,,RUE,RONSARD,64000,2,Appartement,1,19.06
20473,64445,42,,RUE,DE MEON,64000,2,Appartement,4,75.65
00939,66124,4,,IMP,DES OISEAUX,66120,2,Appartement,3,35.35
07670,66187,9001,,,LE REAL,66220,2,Appartement,3,64.1
02475,69029,356,,RTE,DE GENAS,69500,2,Appartement,4,65.04
06007,69029,260,,AV,GENERAL DE GAULLE,69500,2,Appartement,1,36.66
30663,69040,13,,BD,DE LA REPUBLIQUE,69410,2,Appartement,4,69.65
14051,69044,5,,CHE,DU VALLONNET,69260,2,Appartement,2,53.8
15851,69096,2,,RUE,DES FAIENCIERS,69520,2,Appartement,3,68.55
06147,69111,442,,RTE,DU MARGAND,69620,2,Appartement,7,149.5
33684,69173,5000,,CHE,DE QUICURY,69490,2,Appartement,3,78.04
16856,69259,26,,RUE,ANATOLE FRANCE,69200,2,Appartement,2,18.9
27477,69259,61,,RUE,DES MARTYRS DE LA RES,69200,2,Appartement,3,62.51
24573,69264,49,,RUE,DE THIZY,69400,2,Appartement,3,75.63
01267,69264,614,,RUE,FRANCOIS GIRAUD,69400,2,Appartement,2,42.77
26540,69264,332,,RUE,LAMARTINE,69400,2,Appartement,4,64.49
14786,69266,34,,RUE,FAILLEBIN,69100,2,Appartement,2,34.53
00750,69268,3,B,RUE,DU PROGRES,69390,1,Maison,3,103.96
28503,69271,43,,RUE,DES LILAS,69680,2,Appartement,3,82.31
11116,69381,22,,RUE,IMBERT COLOMES,69001,2,Appartement,2,60.48
24501,69381,4,,RUE,DES AUGUSTINS,69001,2,Appartement,2,99.05
30580,69382,15,,RUE,VICTOR HUGO,69002,2,Appartement,6,83.88
20379,69382,37,,RUE,DENUZIERE,69002,2,Appartement,3,64.5
30907,69383,2,B,PAS,FEUILLAT,69003,2,Appartement,3,61.54
04313,69383,311,,RUE,PAUL BERT,69003,2,Appartement,3,74.57
17272,69384,12,,RUE,JEANNE - MARIE CELU,69004,2,Appartement,3,61.6
25410,69385,89,,QUAI,PIERRE SCIZE,69005,2,Appartement,3,72.2
19829,69385,122,B,RUE,COMMANDANT CHARCOT,69005,2,Appartement,4,93
13321,69386,17,,RUE,LAURENT VIBERT,69006,2,Appartement,1,35.67
19102,69386,40,,RUE,SAINTE GENEVIEVE,69006,2,Appartement,3,69.07
18584,69387,10,,RUE,DES TROIS ROIS,69007,2,Appartement,1,25.11
19083,69387,39,,RUE,DE LA THIBAUDIERE,69007,2,Appartement,2,86.03
08917,69387,43,,RUE,CHALLEMEL LACOUR,69007,2,Appartement,4,79.9
21744,69388,40,,AV,GENERAL FRERE,69008,2,Appartement,1,29.4
25412,69389,1,,PL,ABBE PIERRE,69009,2,Appartement,4,80.66
00228,69389,122,,AV,DU 25E RGT TIR SENEGALAIS,69009,1,Maison,4,91.6
24182,71342,2,,BD,DU DAUPHIN LOUIS,71600,2,Appartement,3,58.94
31164,74224,47,,RUE,DE SILENCE,74800,2,Appartement,2,53.65
26553,75102,47,,RUE,GRENETA,75002,2,Appartement,1,31.72
07211,75103,169,,RUE,DU TEMPLE,75003,2,Appartement,1,9.73
12087,75103,80,,RUE,DES ARCHIVES,75003,2,Appartement,3,74.05
26265,75104,5,,RUE,DES ECOUFFES,75004,2,Appartement,2,29.6
07627,75105,8,,RUE,COCHIN,75005,2,Appartement,3,51.03
05816,75105,14,,RUE,MONGE,75005,2,Appartement,2,66.9
10362,75105,3,,PL,MONGE,75005,2,Appartement,3,47.66
28615,75105,42,B,RUE,POLIVEAU,75005,2,Appartement,2,29.03
08100,75106,29,,RUE,GUENEGAUD,75006,2,Appartement,2,34.07
